episode_id,total_sessions,total_kwh,baseline_rev,dynamic_rev,revenue_gain_pct,rev_per_kwh,avg_utilization,pct_congested,pct_underutil,avg_wait_proxy_h,customer_response_pct,pricing_efficiency,surge_thresh,max_surge_mult,max_disc_mult
0,28,145.972,2189.58,2068.7066400000003,-5.520390211818905,14.171941468129699,0.5275334611027384,28.57142857142857,32.142857142857146,3.7717708333333335,32.142857141709186,0.9447960978753133,0.8,1.8,0.6
1,43,318.41423436977277,4776.213515546591,6369.086727030041,33.35012570728483,20.002518856030953,0.6171017485000556,46.51162790697674,30.23255813953488,5.011458333333334,30.232558138831806,1.3335012570687301,0.8,1.8,0.6
2,36,232.1244516129025,3481.866774193538,3839.298743620063,10.265526874135212,16.53982903104947,0.6296553923299761,30.555555555555557,5.555555555555555,4.2029545454545465,5.555555555401235,1.1026552687366313,0.8,1.8,0.6
3,41,277.457,4161.855,4859.21881,16.756081362753704,17.513412204350537,0.5531852531167675,36.58536585365854,31.70731707317073,2.879,31.707317072397384,1.167560813623369,0.775,1.8,0.6
4,11,75.218,1128.27,1723.2308599999997,52.73213503855215,22.90982025548525,0.8606789996930053,72.72727272727273,9.090909090909092,2.005,9.090909090082643,1.5273213503656833,0.75,1.8,0.6
6,38,347.76199999999994,5216.43,6658.274710000001,27.64044969451759,19.146067454123383,0.6210834389216935,39.473684210526315,26.31578947368421,3.6232037037037035,26.31578947299169,1.2764044969415589,0.725,1.8,0.6
7,35,180.061,2700.915,2736.31785,1.3107724604434732,15.196615868982196,0.46497429033718557,25.71428571428571,42.857142857142854,3.2523148148148153,42.857142855918376,1.0131077245988132,0.7,1.8,0.6
8,31,219.00499999999997,3285.0750000000003,3495.7479800000006,6.413034101198181,15.961955115107141,0.3989809923571159,22.58064516129032,48.38709677419355,4.264880952380953,48.387096772632674,1.0641303410071428,0.6749999999999999,1.8,0.6
9,38,226.01831302269437,3390.274695340416,4576.135628548233,34.97831414183963,20.246747121187916,0.7080552620074171,60.526315789473685,28.947368421052634,3.3000241545893725,28.947368420290857,1.3497831414125276,0.65,1.8,0.6
10,40,242.9614258482678,3644.4213877240168,4369.222644850902,19.887965194368835,17.983194779082126,0.592939542705719,40.0,30.0,3.5532638888888894,29.999999999250004,1.1988796519388083,0.65,1.8,0.58
11,13,115.02,1725.3,1832.57579,6.217805019413317,15.932670752774017,0.8347698561023201,76.92307692307693,7.6923076923076925,0.9506666666666668,7.692307691715976,1.0621780501849345,0.65,1.8,0.58
12,8,72.601,1089.0149999999999,1366.75719,25.503982038791488,18.82559730556293,0.7811431402940744,50.0,0.0,1.5659027777777776,0.0,1.255039820370862,0.65,1.8,0.58
13,33,236.25599999999997,3543.84,3571.6067300000004,0.7835209828884048,15.11752814736931,0.4916108954177397,21.21212121212121,48.484848484848484,2.417301587301587,48.48484848337925,1.0078352098246206,0.65,1.8,0.58
14,30,205.03599999999997,3075.54,5136.438450000001,67.0093203144596,25.051398047050032,0.9060285980943154,86.66666666666667,3.3333333333333335,6.368237179487178,3.3333333332222224,1.6700932031366689,0.65,1.8,0.58
15,27,176.08242203404996,2641.23633051075,3194.212690583866,20.936269643314137,18.140440446395292,0.5943137435905883,48.148148148148145,33.33333333333333,4.545470085470086,33.33333333209876,1.2093626964263529,0.65,1.8,0.58
16,26,150.99551778374936,2264.93276675624,2409.1796816781066,6.36870626090982,15.955305939031227,0.5415131150866428,34.61538461538461,34.61538461538461,4.271882716049382,34.615384614053255,1.0636870626020818,0.65,1.8,0.58
17,10,67.136,1007.04,1107.1784899999998,9.943844335865546,16.491576650135666,0.4904376048562583,20.0,40.0,1.8965277777777776,39.999999996,1.0994384433423778,0.65,1.8,0.58
18,5,26.193,392.895,587.46567,49.52230748660707,22.42834612215369,0.7914935934948314,60.0,0.0,1.501111111111111,0.0,1.495223074810246,0.65,1.8,0.58
19,9,122.65202499999998,1839.7803749999998,2174.56317125,18.196889193897295,17.729533378941525,0.6543405090429052,44.44444444444444,22.22222222222222,1.9547916666666667,22.222222219753085,1.181968891929435,0.65,1.8,0.58
20,8,93.125,1396.875,1515.9402599999999,8.523687516772412,16.278553127341972,0.5726055455361839,37.5,37.5,1.2949074074074074,37.4999999953125,1.0852368751561314,0.65,1.8,0.58
98,5,13.782,206.73,236.1705,14.241039036355444,17.136155854220277,0.6455245061739021,40.0,20.0,0.7169444444444444,19.999999996,1.1424103902813518,0.65,1.8,0.58
115,8,97.974,1469.6100000000001,2613.24373,77.81885874478411,26.672828811453314,0.9011837010550103,87.5,12.5,1.2685714285714285,12.4999999984375,1.778188587430221,0.65,1.8,0.58
116,7,40.557,608.355,718.40908,18.09043732685999,17.713565598596702,0.46624088790578433,28.57142857142857,57.14285714285714,0.7804166666666666,57.142857134693884,1.1809043732397801,0.65,1.8,0.58
118,5,27.738,416.07000000000005,591.19103,42.08931910485711,21.31339786497536,0.8888021118392195,80.0,0.0,0.6515277777777778,0.0,1.4208931909983573,0.65,1.8,0.58
119,7,70.949,1064.2350000000001,1713.31668,60.990446658810306,24.148566998489777,0.7077162647283556,57.14285714285714,0.0,5.149861111111112,0.0,1.6099044665659852,0.65,1.8,0.58
120,8,61.086999999999996,916.3050000000001,1296.00641,41.43832130126819,21.215748194849713,0.5921029562808341,50.0,37.5,0.7321527777777779,37.4999999953125,1.414383212989981,0.65,1.8,0.58
121,7,52.967,794.505,1323.83501,66.6238739843467,24.993581097192717,0.8387657732580381,71.42857142857143,14.285714285714285,0.4375,14.285714283673471,1.6662387398128478,0.65,1.8,0.58
124,6,76.807,1152.105,1953.58178,69.56629647465329,25.434944470875894,0.6951322899370069,50.0,33.33333333333333,0.8314814814814815,33.33333332777777,1.6956629647250596,0.65,1.8,0.58
125,5,44.666,669.99,987.75054,47.42765414402091,22.11414812111866,0.8126415567490362,60.0,0.0,1.3796296296296298,0.0,1.4742765414079106,0.65,1.8,0.58
126,5,28.48,427.20000000000005,703.8255700000001,64.75317649797577,24.712976473851374,0.6751452941410299,60.0,40.0,2.458425925925926,39.999999992,1.647531764923425,0.65,1.8,0.58
127,9,64.854,972.81,1380.48393,41.90683997898676,21.28602599652626,0.6258064057222984,55.55555555555556,33.33333333333333,0.862111111111111,33.333333329629625,1.4190683997684173,0.65,1.8,0.58
128,9,126.97600000000001,1904.64,3325.03695,74.57561271417455,26.186341906925822,0.9085508307911875,88.88888888888889,11.11111111111111,1.0468055555555555,11.111111109876543,1.7457561271283881,0.65,1.8,0.58
130,10,55.332,829.9799999999999,1212.82877,46.127469336554974,21.91912040009544,0.6879635535022889,50.0,30.0,0.5606111111111111,29.999999997,1.461274693339696,0.65,1.8,0.58
131,7,65.78999999999999,986.8499999999999,1706.2176399999998,72.89533769055794,25.934300653200573,0.891516608682881,85.71428571428571,14.285714285714285,0.6812499999999999,14.285714283673471,1.7289533768800383,0.65,1.8,0.58
132,11,112.42500000000001,1686.375,2313.80977,37.20612378620579,20.580918567751112,0.8173345484662824,54.54545454545454,0.0,0.8393518518518519,0.0,1.372061237850074,0.65,1.8,0.58
134,7,69.111,1036.6650000000002,1498.90175,44.58882570546452,21.688323855512312,0.6485265317614487,42.857142857142854,28.57142857142857,2.216574074074074,28.571428567346942,1.4458882570341542,0.65,1.8,0.58
135,6,40.934,614.01,1004.6753800000001,63.625247145708364,24.543787071272206,0.7736107462938447,66.66666666666666,16.666666666666664,0.5661111111111111,16.666666663888886,1.636252471418147,0.65,1.8,0.58
137,7,106.06084139785189,1590.9126209677781,2241.1839190053993,40.87410518131673,21.131115777002126,0.6704684674500785,42.857142857142854,14.285714285714285,0.8187962962962962,14.285714283673471,1.4087410518001418,0.65,1.8,0.58
138,8,114.84862222222223,1722.7293333333334,2932.947713111111,70.25005938892365,25.537508908122305,0.9123963672416304,87.5,0.0,0.7984920634920636,0.0,1.7025005938748203,0.65,1.8,0.58
139,6,92.28,1384.2,2491.56,79.99999999994219,26.99999999970741,1.0,100.0,0.0,0.5904629629629631,0.0,1.7999999999804939,0.65,1.8,0.58
140,9,68.383,1025.745,1845.9283599999999,79.95977167806818,26.99396575132717,0.9997015622813207,100.0,0.0,0.6319444444444444,0.0,1.7995977167551447,0.65,1.8,0.59
